#wavelength flux error
1.138000 0.001365 69.892515
1.164500 0.001453 69.892515
1.191000 0.001375 69.892515
1.217000 0.001216 69.892515
1.243000 0.001129 69.892515
1.269000 0.001104 69.892515
1.295500 0.001193 69.892515
1.322000 0.001323 69.892515
1.348000 0.001497 69.892515
1.374500 0.001552 69.892515
1.401000 0.001563 69.892515
1.427000 0.001528 69.892515
1.453000 0.001443 69.892515
1.479000 0.001381 69.892515
1.505500 0.001316 69.892515
1.532000 0.001258 69.892515
1.558000 0.001213 69.892515
1.584500 0.001201 69.892515
1.610500 0.001378 69.892515
1.637000 0.001483 69.892515
