bin	 binerr	 trdepth	 tr_error
1.109978676000000108e+00	 1.652050000000000046e-02	 2.247989365325965203e-02	 7.084369133999999547e-04
1.160865744000000088e+00	 1.739281399999999950e-02	 2.363313249829298440e-02	 4.869306382999999882e-04
1.214221994000000082e+00	 1.816314499999999860e-02	 2.277812908587054097e-02	 3.455030114999999968e-04
1.269708116999999969e+00	 1.881015299999999960e-02	 2.237123282160093096e-02	 2.937013210999999953e-04
1.326930482999999938e+00	 1.932019000000000097e-02	 2.292517418524009018e-02	 2.918119778999999649e-04
1.385472495999999776e+00	 1.968997699999999740e-02	 2.369957466749109468e-02	 2.615123266000000143e-04
1.444921850999999924e+00	 1.992624999999999952e-02	 2.355422026689100307e-02	 1.957654056999999959e-04
1.504895131000000053e+00	 2.004122700000000173e-02	 2.286960943337789515e-02	 2.144183470000000154e-04
1.565053224999999992e+00	 2.005177699999999980e-02	 2.311412959571081463e-02	 1.851661424000000038e-04
1.625109394000000096e+00	 1.997572200000000131e-02	 2.236644488562026731e-02	 1.900251859000000082e-04
1.684830307999999999e+00	 1.983052500000000162e-02	 2.271362478703661467e-02	 1.524505983999999809e-04
1.744033216999999913e+00	 1.963216099999999867e-02	 2.307759359727364415e-02	 1.294001711000000005e-04
1.802579761000000058e+00	 1.939451699999999654e-02	 2.314454616190481442e-02	 1.299842896999999994e-04
1.860369125999999929e+00	 1.912879899999999841e-02	 2.333104559733427397e-02	 1.162414511000000060e-04
1.917331815000000050e+00	 1.884442600000000093e-02	 2.329363174454423396e-02	 1.253639593000000039e-04
1.973422725999999683e+00	 1.854836899999999858e-02	 2.327036879397720651e-02	 1.025487454000000058e-04
2.028615553999999932e+00	 1.824641200000000005e-02	 2.328630903563128421e-02	 1.012407862999999911e-04
2.082899809000000158e+00	 1.794290499999999511e-02	 2.292157828647567799e-02	 1.034491843999999947e-04
2.136275132000000188e+00	 1.764106799999999586e-02	 2.256372533871984359e-02	 1.124364374999999922e-04
2.188750028999999930e+00	 1.734280599999999881e-02	 2.283561529882754959e-02	 9.657385947999999999e-05
2.240338960999999518e+00	 1.705038500000000123e-02	 2.310420376148338006e-02	 8.823856519000000350e-05
2.291060129999999972e+00	 1.676464100000000026e-02	 2.332854298325211240e-02	 8.497501810999999602e-05
